speaker,noise_type,snr_label,snr_db,noisy_stoi,noisy_pesq,noisy_sisdr,mmse_stoi,mmse_pesq,mmse_sisdr,wav_stoi,wav_pesq,wav_sisdr
sp01,airport,0dB,0,0.6407861769168827,1.1801930665969849,-0.8508411049842834,0.6170582662718157,1.1737513542175293,0.5938742160797119,0.6507236708642671,1.1799317598342896,-0.7473779916763306
sp02,airport,0dB,0,0.6741848323506807,1.2475638389587402,-0.7557237148284912,0.640865254232589,1.0821276903152466,0.1661112755537033,0.68070300468223,1.2382289171218872,-0.6848101615905762
sp03,airport,0dB,0,0.700485670306518,1.1629235744476318,-0.42194342613220215,0.6472784503311488,1.1555827856063843,0.8503926396369934,0.7036733781645781,1.161607027053833,-0.36368465423583984
sp04,airport,0dB,0,0.7013021057562849,1.1757431030273438,-0.24684244394302368,0.6463739855697334,1.164544939994812,-0.16172075271606445,0.7037796851889282,1.1712522506713867,-0.22567375004291534
sp05,airport,0dB,0,0.7067332023748519,1.129089117050171,-0.46377336978912354,0.6389712890360384,1.1330472230911255,0.30920636653900146,0.7099635187788884,1.1270512342453003,-0.4362926185131073
sp06,airport,0dB,0,0.7341519484205341,1.1500860452651978,-0.65214604139328,0.702368478543243,1.1265103816986084,-0.29872262477874756,0.7337165515576805,1.1449419260025024,-0.5769032835960388
sp07,airport,0dB,0,0.7020900334278469,1.1760398149490356,-0.7601422667503357,0.6675730615062423,1.1273642778396606,0.6526308655738831,0.704225148824097,1.1725205183029175,-0.6419593095779419
sp08,airport,0dB,0,0.6642168880947693,1.2055985927581787,-0.612727165222168,0.6489686505041081,1.16646409034729,0.6244766116142273,0.6658460928183614,1.2002651691436768,-0.521584689617157
sp09,airport,0dB,0,0.6883624795568528,1.161641001701355,-0.4989593029022217,0.6585986571627541,1.1936968564987183,-0.35958051681518555,0.693227179613485,1.1561827659606934,-0.5045052766799927
sp10,airport,0dB,0,0.671053376203923,1.1449004411697388,-0.7832921743392944,0.644836902171418,1.1418458223342896,-0.49692249298095703,0.673139772222415,1.1417675018310547,-0.7254341244697571
